text,category,priority
MCB trips frequently in Room 331.,Electrical,High
"Switch board hanging loose in Room 258, exposed wires.",Electrical,Urgent
"Boundary wall near Boys Hostel has a hole, outsiders entering.",Civil,Urgent
MCB trips frequently in Room 420.,Electrical,High
Hot water geyser not giving water in Ground Floor Washroom.,Sanitation,High
"Bulb fused in First Floor Toilet, pitch dark at night.",Electrical,Urgent
"Window pane missing in Room 150, mosquitoes entering.",Civil,Medium
Corridor lights invalid/off in New Wing at night.,Electrical,Urgent
Huge crack appeared on the wall of Room 316.,Civil,High
Drunk students creating nuisance in Girls Hostel.,Disciplinary,Urgent
Fungus growing on bathroom walls in Room 190.,Sanitation,High
Corridors in Block A are full of mud and trash.,Sanitation,Medium
Drain blockage causing backflow in Restroom near Canteen.,Sanitation,Urgent
There is a dead insect in the rice bowl in Old Block.,Mess,Urgent
Fan in Room 422 making loud noise and wobbling.,Electrical,High
Wallet stolen from my bag in Office.,Disciplinary,Urgent
The mattress in Room 354 is torn and old.,Civil,Low
Cats seen roaming inside the Block A mess kitchen.,Mess,Urgent
Power cut in New Wing for over 4 hours.,Electrical,High
Window glass shattered in Room 476 due to wind.,Civil,High
Tube light improperly flickering in Room 211.,Electrical,Medium
Lost my ID card near Lab 1.,Other,Low
Not enough nutritious options for vegetarian students in Boys Hostel mess.,Mess,Low
Bus to Block B stop was late by 20 minutes today.,Other,Low
"Switch board hanging loose in Room 382, exposed wires.",Electrical,Urgent
No electricity in Lab 2 lab section.,Electrical,High
Server down error when accessing exam results.,IT,High
Female students catcalled near Block B gate.,Disciplinary,Urgent
Curd served in Old Block was sour and old.,Mess,High
Wifi signal is extremely weak in Room 416.,IT,Medium
Fungus growing on bathroom walls in Room 386.,Sanitation,High
Projector in Computer Centre has display issues.,IT,Medium
Cleaning staff has not visited 183 for 3 days.,Sanitation,Medium
Air conditioner in Lab 2 is dripping water.,Electrical,Medium
Loud music playing in Room 447 late at night disturbing others.,Disciplinary,High
Wifi range does not reach the corner rooms like 457.,IT,Medium
Female students catcalled near New Wing gate.,Disciplinary,Urgent
LAN port in Room 328 is broken.,IT,Medium
Frequent voltage fluctuation in 386 damaging laptop.,Electrical,High
Drinking water cooler in Block A is empty.,Sanitation,High
Wifi range does not reach the corner rooms like 484.,IT,Medium
Milk served at breakfast in Block A was sour.,Mess,High
Geyser in Hostel Mesh not heating water.,Electrical,Medium
Drunk students creating nuisance in Boys Hostel.,Disciplinary,Urgent
Wifi range does not reach the corner rooms like 259.,IT,Medium
"Window pane missing in Room 434, mosquitoes entering.",Civil,Medium
Chapatis in New Wing mess are too hard to eat.,Mess,Medium
